Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Slot Name with Unit,Year,Month
1,1,Mead.Pool Elevation,04-30-2026 23:59:00,1109.93,Pool Elevation (ft),2026,April
1,1,Mead.Pool Elevation,05-31-2026 23:59:00,1109.00,Pool Elevation (ft),2026,May
1,1,Mead.Pool Elevation,06-30-2026 23:59:00,1108.09,Pool Elevation (ft),2026,June
1,1,Mead.Pool Elevation,07-31-2026 23:59:00,1108.85,Pool Elevation (ft),2026,July
1,1,Mead.Pool Elevation,08-31-2026 23:59:00,1110.75,Pool Elevation (ft),2026,August
1,1,Mead.Pool Elevation,09-30-2026 23:59:00,1111.44,Pool Elevation (ft),2026,September
1,1,Mead.Pool Elevation,10-31-2026 23:59:00,1114.12,Pool Elevation (ft),2026,October
1,1,Mead.Pool Elevation,11-30-2026 23:59:00,1115.49,Pool Elevation (ft),2026,November
1,1,Mead.Pool Elevation,12-31-2026 23:59:00,1117.08,Pool Elevation (ft),2026,December
1,1,Mead.Pool Elevation,01-31-2027 23:59:00,1117.66,Pool Elevation (ft),2027,January
1,1,Mead.Pool Elevation,02-28-2027 23:59:00,1117.42,Pool Elevation (ft),2027,February
1,1,Mead.Pool Elevation,03-31-2027 23:59:00,1116.91,Pool Elevation (ft),2027,March
1,1,Mead.Pool Elevation,04-30-2027 23:59:00,1114.53,Pool Elevation (ft),2027,April
1,1,Mead.Pool Elevation,05-31-2027 23:59:00,1113.13,Pool Elevation (ft),2027,May
1,1,Mead.Pool Elevation,06-30-2027 23:59:00,1111.62,Pool Elevation (ft),2027,June
1,1,Mead.Pool Elevation,07-31-2027 23:59:00,1111.74,Pool Elevation (ft),2027,July
1,1,Mead.Pool Elevation,08-31-2027 23:59:00,1113.20,Pool Elevation (ft),2027,August
1,1,Mead.Pool Elevation,09-30-2027 23:59:00,1113.38,Pool Elevation (ft),2027,September
1,1,Mead.Pool Elevation,10-31-2027 23:59:00,1116.50,Pool Elevation (ft),2027,October
1,1,Mead.Pool Elevation,11-30-2027 23:59:00,1117.56,Pool Elevation (ft),2027,November
1,1,Mead.Pool Elevation,12-31-2027 23:59:00,1118.44,Pool Elevation (ft),2027,December
1,1,Mead.Pool Elevation,01-31-2028 23:59:00,1119.22,Pool Elevation (ft),2028,January
1,1,Mead.Pool Elevation,02-29-2028 23:59:00,1119.32,Pool Elevation (ft),2028,February
1,1,Mead.Pool Elevation,03-31-2028 23:59:00,1117.75,Pool Elevation (ft),2028,March
1,1,Mead.Pool Elevation,04-30-2028 23:59:00,1115.73,Pool Elevation (ft),2028,April
1,1,Mead.Pool Elevation,05-31-2028 23:59:00,1114.41,Pool Elevation (ft),2028,May
1,1,Mead.Pool Elevation,06-30-2028 23:59:00,1112.72,Pool Elevation (ft),2028,June
1,1,Mead.Pool Elevation,07-31-2028 23:59:00,1112.95,Pool Elevation (ft),2028,July
1,1,Mead.Pool Elevation,08-31-2028 23:59:00,1114.06,Pool Elevation (ft),2028,August
1,1,Mead.Pool Elevation,09-30-2028 23:59:00,1114.99,Pool Elevation (ft),2028,September
1,1,Mead.Pool Elevation,10-31-2028 23:59:00,1118.38,Pool Elevation (ft),2028,October
1,1,Mead.Pool Elevation,11-30-2028 23:59:00,1120.42,Pool Elevation (ft),2028,November
1,1,Mead.Pool Elevation,12-31-2028 23:59:00,1122.08,Pool Elevation (ft),2028,December
1,1,Mead.Pool Elevation,01-31-2029 23:59:00,1123.16,Pool Elevation (ft),2029,January
1,1,Mead.Pool Elevation,02-28-2029 23:59:00,1123.03,Pool Elevation (ft),2029,February
1,1,Mead.Pool Elevation,03-31-2029 23:59:00,1122.08,Pool Elevation (ft),2029,March
1,1,Mead.Pool Elevation,04-30-2029 23:59:00,1120.04,Pool Elevation (ft),2029,April
1,1,Mead.Pool Elevation,05-31-2029 23:59:00,1119.04,Pool Elevation (ft),2029,May
1,1,Mead.Pool Elevation,06-30-2029 23:59:00,1117.88,Pool Elevation (ft),2029,June
1,1,Mead.Pool Elevation,07-31-2029 23:59:00,1118.36,Pool Elevation (ft),2029,July
1,1,Mead.Pool Elevation,08-31-2029 23:59:00,1119.83,Pool Elevation (ft),2029,August
1,1,Mead.Pool Elevation,09-30-2029 23:59:00,1120.25,Pool Elevation (ft),2029,September
1,1,Mead.Pool Elevation,10-31-2029 23:59:00,1122.60,Pool Elevation (ft),2029,October
1,1,Mead.Pool Elevation,11-30-2029 23:59:00,1123.78,Pool Elevation (ft),2029,November
1,1,Mead.Pool Elevation,12-31-2029 23:59:00,1125.15,Pool Elevation (ft),2029,December
1,1,Mead.Pool Elevation,01-31-2030 23:59:00,1126.37,Pool Elevation (ft),2030,January
1,1,Mead.Pool Elevation,02-28-2030 23:59:00,1126.32,Pool Elevation (ft),2030,February
1,1,Mead.Pool Elevation,03-31-2030 23:59:00,1125.47,Pool Elevation (ft),2030,March
1,1,Mead.Pool Elevation,04-30-2030 23:59:00,1123.01,Pool Elevation (ft),2030,April
1,1,Mead.Pool Elevation,05-31-2030 23:59:00,1122.05,Pool Elevation (ft),2030,May
1,1,Mead.Pool Elevation,06-30-2030 23:59:00,1120.53,Pool Elevation (ft),2030,June
1,1,Mead.Pool Elevation,07-31-2030 23:59:00,1121.43,Pool Elevation (ft),2030,July
1,1,Mead.Pool Elevation,08-31-2030 23:59:00,1123.21,Pool Elevation (ft),2030,August
1,1,Mead.Pool Elevation,09-30-2030 23:59:00,1124.24,Pool Elevation (ft),2030,September
1,1,Mead.Pool Elevation,10-31-2030 23:59:00,1126.11,Pool Elevation (ft),2030,October
1,1,Mead.Pool Elevation,11-30-2030 23:59:00,1127.85,Pool Elevation (ft),2030,November
1,1,Mead.Pool Elevation,12-31-2030 23:59:00,1128.72,Pool Elevation (ft),2030,December
1,1,Mead.Pool Elevation,01-31-2031 23:59:00,1129.78,Pool Elevation (ft),2031,January
1,1,Mead.Pool Elevation,02-28-2031 23:59:00,1130.06,Pool Elevation (ft),2031,February
1,1,Mead.Pool Elevation,03-31-2031 23:59:00,1128.54,Pool Elevation (ft),2031,March
1,1,Mead.Pool Elevation,04-30-2031 23:59:00,1126.61,Pool Elevation (ft),2031,April
1,1,Mead.Pool Elevation,05-31-2031 23:59:00,1125.52,Pool Elevation (ft),2031,May
1,1,Mead.Pool Elevation,06-30-2031 23:59:00,1123.97,Pool Elevation (ft),2031,June
1,1,Mead.Pool Elevation,07-31-2031 23:59:00,1124.75,Pool Elevation (ft),2031,July
1,1,Mead.Pool Elevation,08-31-2031 23:59:00,1126.61,Pool Elevation (ft),2031,August
1,1,Mead.Pool Elevation,09-30-2031 23:59:00,1127.64,Pool Elevation (ft),2031,September
1,1,Mead.Pool Elevation,10-31-2031 23:59:00,1129.88,Pool Elevation (ft),2031,October
1,1,Mead.Pool Elevation,11-30-2031 23:59:00,1130.87,Pool Elevation (ft),2031,November
1,1,Mead.Pool Elevation,12-31-2031 23:59:00,1132.19,Pool Elevation (ft),2031,December
1,1,Mead.Pool Elevation,01-31-2032 23:59:00,1133.07,Pool Elevation (ft),2032,January
1,1,Mead.Pool Elevation,02-29-2032 23:59:00,1132.82,Pool Elevation (ft),2032,February
1,1,Mead.Pool Elevation,03-31-2032 23:59:00,1132.81,Pool Elevation (ft),2032,March
1,1,Mead.Pool Elevation,04-30-2032 23:59:00,1131.08,Pool Elevation (ft),2032,April
1,1,Mead.Pool Elevation,05-31-2032 23:59:00,1129.41,Pool Elevation (ft),2032,May
1,1,Mead.Pool Elevation,06-30-2032 23:59:00,1127.92,Pool Elevation (ft),2032,June
1,1,Mead.Pool Elevation,07-31-2032 23:59:00,1127.86,Pool Elevation (ft),2032,July
1,1,Mead.Pool Elevation,08-31-2032 23:59:00,1128.18,Pool Elevation (ft),2032,August
1,1,Mead.Pool Elevation,09-30-2032 23:59:00,1128.07,Pool Elevation (ft),2032,September
1,1,Mead.Pool Elevation,10-31-2032 23:59:00,1129.61,Pool Elevation (ft),2032,October
1,1,Mead.Pool Elevation,11-30-2032 23:59:00,1130.30,Pool Elevation (ft),2032,November
1,1,Mead.Pool Elevation,12-31-2032 23:59:00,1131.35,Pool Elevation (ft),2032,December
1,1,Mead.Pool Elevation,01-31-2033 23:59:00,1132.71,Pool Elevation (ft),2033,January
1,1,Mead.Pool Elevation,02-28-2033 23:59:00,1133.36,Pool Elevation (ft),2033,February
1,1,Mead.Pool Elevation,03-31-2033 23:59:00,1132.95,Pool Elevation (ft),2033,March
1,1,Mead.Pool Elevation,04-30-2033 23:59:00,1130.89,Pool Elevation (ft),2033,April
1,1,Mead.Pool Elevation,05-31-2033 23:59:00,1130.19,Pool Elevation (ft),2033,May
1,1,Mead.Pool Elevation,06-30-2033 23:59:00,1129.11,Pool Elevation (ft),2033,June
1,1,Mead.Pool Elevation,07-31-2033 23:59:00,1129.59,Pool Elevation (ft),2033,July
1,1,Mead.Pool Elevation,08-31-2033 23:59:00,1131.01,Pool Elevation (ft),2033,August
1,1,Mead.Pool Elevation,09-30-2033 23:59:00,1131.43,Pool Elevation (ft),2033,September
1,1,Mead.Pool Elevation,10-31-2033 23:59:00,1133.44,Pool Elevation (ft),2033,October
1,1,Mead.Pool Elevation,11-30-2033 23:59:00,1134.79,Pool Elevation (ft),2033,November
1,1,Mead.Pool Elevation,12-31-2033 23:59:00,1136.14,Pool Elevation (ft),2033,December
1,1,Mead.Pool Elevation,01-31-2034 23:59:00,1137.42,Pool Elevation (ft),2034,January
1,1,Mead.Pool Elevation,02-28-2034 23:59:00,1137.92,Pool Elevation (ft),2034,February
1,1,Mead.Pool Elevation,03-31-2034 23:59:00,1136.96,Pool Elevation (ft),2034,March
1,1,Mead.Pool Elevation,04-30-2034 23:59:00,1134.77,Pool Elevation (ft),2034,April
1,1,Mead.Pool Elevation,05-31-2034 23:59:00,1133.61,Pool Elevation (ft),2034,May
1,1,Mead.Pool Elevation,06-30-2034 23:59:00,1131.82,Pool Elevation (ft),2034,June
1,1,Mead.Pool Elevation,07-31-2034 23:59:00,1131.93,Pool Elevation (ft),2034,July
1,1,Mead.Pool Elevation,08-31-2034 23:59:00,1132.49,Pool Elevation (ft),2034,August
1,1,Mead.Pool Elevation,09-30-2034 23:59:00,1132.58,Pool Elevation (ft),2034,September
1,1,Mead.Pool Elevation,10-31-2034 23:59:00,1134.01,Pool Elevation (ft),2034,October
1,1,Mead.Pool Elevation,11-30-2034 23:59:00,1134.74,Pool Elevation (ft),2034,November
1,1,Mead.Pool Elevation,12-31-2034 23:59:00,1135.31,Pool Elevation (ft),2034,December
1,1,Mead.Pool Elevation,01-31-2035 23:59:00,1135.28,Pool Elevation (ft),2035,January
1,1,Mead.Pool Elevation,02-28-2035 23:59:00,1134.43,Pool Elevation (ft),2035,February
1,1,Mead.Pool Elevation,03-31-2035 23:59:00,1133.31,Pool Elevation (ft),2035,March
1,1,Mead.Pool Elevation,04-30-2035 23:59:00,1130.43,Pool Elevation (ft),2035,April
1,1,Mead.Pool Elevation,05-31-2035 23:59:00,1128.50,Pool Elevation (ft),2035,May
1,1,Mead.Pool Elevation,06-30-2035 23:59:00,1126.45,Pool Elevation (ft),2035,June
1,1,Mead.Pool Elevation,07-31-2035 23:59:00,1125.84,Pool Elevation (ft),2035,July
1,1,Mead.Pool Elevation,08-31-2035 23:59:00,1126.52,Pool Elevation (ft),2035,August
1,1,Mead.Pool Elevation,09-30-2035 23:59:00,1126.01,Pool Elevation (ft),2035,September
1,1,Mead.Pool Elevation,10-31-2035 23:59:00,1128.12,Pool Elevation (ft),2035,October
1,1,Mead.Pool Elevation,11-30-2035 23:59:00,1128.65,Pool Elevation (ft),2035,November
1,1,Mead.Pool Elevation,12-31-2035 23:59:00,1128.91,Pool Elevation (ft),2035,December
1,1,Mead.Pool Elevation,01-31-2036 23:59:00,1129.29,Pool Elevation (ft),2036,January
1,1,Mead.Pool Elevation,02-29-2036 23:59:00,1129.05,Pool Elevation (ft),2036,February
1,1,Mead.Pool Elevation,03-31-2036 23:59:00,1127.67,Pool Elevation (ft),2036,March
1,1,Mead.Pool Elevation,04-30-2036 23:59:00,1125.86,Pool Elevation (ft),2036,April
1,1,Mead.Pool Elevation,05-31-2036 23:59:00,1124.89,Pool Elevation (ft),2036,May
1,1,Mead.Pool Elevation,06-30-2036 23:59:00,1123.62,Pool Elevation (ft),2036,June
1,1,Mead.Pool Elevation,07-31-2036 23:59:00,1124.84,Pool Elevation (ft),2036,July
1,1,Mead.Pool Elevation,08-31-2036 23:59:00,1132.92,Pool Elevation (ft),2036,August
1,1,Mead.Pool Elevation,09-30-2036 23:59:00,1139.05,Pool Elevation (ft),2036,September
1,1,Mead.Pool Elevation,10-31-2036 23:59:00,1140.54,Pool Elevation (ft),2036,October
1,1,Mead.Pool Elevation,11-30-2036 23:59:00,1141.02,Pool Elevation (ft),2036,November
1,1,Mead.Pool Elevation,12-31-2036 23:59:00,1141.94,Pool Elevation (ft),2036,December
1,1,Mead.Pool Elevation,01-31-2037 23:59:00,1141.87,Pool Elevation (ft),2037,January
1,1,Mead.Pool Elevation,02-28-2037 23:59:00,1140.50,Pool Elevation (ft),2037,February
1,1,Mead.Pool Elevation,03-31-2037 23:59:00,1138.37,Pool Elevation (ft),2037,March
1,1,Mead.Pool Elevation,04-30-2037 23:59:00,1135.23,Pool Elevation (ft),2037,April
1,1,Mead.Pool Elevation,05-31-2037 23:59:00,1133.32,Pool Elevation (ft),2037,May
1,1,Mead.Pool Elevation,06-30-2037 23:59:00,1130.88,Pool Elevation (ft),2037,June
1,1,Mead.Pool Elevation,07-31-2037 23:59:00,1130.93,Pool Elevation (ft),2037,July
1,1,Mead.Pool Elevation,08-31-2037 23:59:00,1131.96,Pool Elevation (ft),2037,August
1,1,Mead.Pool Elevation,09-30-2037 23:59:00,1131.70,Pool Elevation (ft),2037,September
1,1,Mead.Pool Elevation,10-31-2037 23:59:00,1132.89,Pool Elevation (ft),2037,October
1,1,Mead.Pool Elevation,11-30-2037 23:59:00,1133.10,Pool Elevation (ft),2037,November
1,1,Mead.Pool Elevation,12-31-2037 23:59:00,1133.36,Pool Elevation (ft),2037,December
1,1,Mead.Pool Elevation,01-31-2038 23:59:00,1133.71,Pool Elevation (ft),2038,January
1,1,Mead.Pool Elevation,02-28-2038 23:59:00,1133.35,Pool Elevation (ft),2038,February
1,1,Mead.Pool Elevation,03-31-2038 23:59:00,1131.34,Pool Elevation (ft),2038,March
1,1,Mead.Pool Elevation,04-30-2038 23:59:00,1128.90,Pool Elevation (ft),2038,April
1,1,Mead.Pool Elevation,05-31-2038 23:59:00,1127.19,Pool Elevation (ft),2038,May
1,1,Mead.Pool Elevation,06-30-2038 23:59:00,1125.05,Pool Elevation (ft),2038,June
1,1,Mead.Pool Elevation,07-31-2038 23:59:00,1124.73,Pool Elevation (ft),2038,July
1,1,Mead.Pool Elevation,08-31-2038 23:59:00,1125.16,Pool Elevation (ft),2038,August
1,1,Mead.Pool Elevation,09-30-2038 23:59:00,1125.44,Pool Elevation (ft),2038,September
1,1,Mead.Pool Elevation,10-31-2038 23:59:00,1128.04,Pool Elevation (ft),2038,October
1,1,Mead.Pool Elevation,11-30-2038 23:59:00,1129.59,Pool Elevation (ft),2038,November
1,1,Mead.Pool Elevation,12-31-2038 23:59:00,1130.67,Pool Elevation (ft),2038,December
1,1,Mead.Pool Elevation,01-31-2039 23:59:00,1131.42,Pool Elevation (ft),2039,January
1,1,Mead.Pool Elevation,02-28-2039 23:59:00,1131.33,Pool Elevation (ft),2039,February
1,1,Mead.Pool Elevation,03-31-2039 23:59:00,1129.59,Pool Elevation (ft),2039,March
1,1,Mead.Pool Elevation,04-30-2039 23:59:00,1126.91,Pool Elevation (ft),2039,April
1,1,Mead.Pool Elevation,05-31-2039 23:59:00,1125.34,Pool Elevation (ft),2039,May
1,1,Mead.Pool Elevation,06-30-2039 23:59:00,1123.39,Pool Elevation (ft),2039,June
1,1,Mead.Pool Elevation,07-31-2039 23:59:00,1123.12,Pool Elevation (ft),2039,July
1,1,Mead.Pool Elevation,08-31-2039 23:59:00,1124.27,Pool Elevation (ft),2039,August
1,1,Mead.Pool Elevation,09-30-2039 23:59:00,1124.18,Pool Elevation (ft),2039,September
1,1,Mead.Pool Elevation,10-31-2039 23:59:00,1125.52,Pool Elevation (ft),2039,October
1,1,Mead.Pool Elevation,11-30-2039 23:59:00,1126.41,Pool Elevation (ft),2039,November
1,1,Mead.Pool Elevation,12-31-2039 23:59:00,1127.07,Pool Elevation (ft),2039,December
1,1,Mead.Pool Elevation,01-31-2040 23:59:00,1127.79,Pool Elevation (ft),2040,January
1,1,Mead.Pool Elevation,02-29-2040 23:59:00,1127.80,Pool Elevation (ft),2040,February
1,1,Mead.Pool Elevation,03-31-2040 23:59:00,1126.28,Pool Elevation (ft),2040,March
1,1,Mead.Pool Elevation,04-30-2040 23:59:00,1124.23,Pool Elevation (ft),2040,April
1,1,Mead.Pool Elevation,05-31-2040 23:59:00,1122.79,Pool Elevation (ft),2040,May
1,1,Mead.Pool Elevation,06-30-2040 23:59:00,1121.03,Pool Elevation (ft),2040,June
1,1,Mead.Pool Elevation,07-31-2040 23:59:00,1121.09,Pool Elevation (ft),2040,July
1,1,Mead.Pool Elevation,08-31-2040 23:59:00,1121.99,Pool Elevation (ft),2040,August
1,1,Mead.Pool Elevation,09-30-2040 23:59:00,1122.78,Pool Elevation (ft),2040,September
1,1,Mead.Pool Elevation,10-31-2040 23:59:00,1126.03,Pool Elevation (ft),2040,October
1,1,Mead.Pool Elevation,11-30-2040 23:59:00,1128.01,Pool Elevation (ft),2040,November
1,1,Mead.Pool Elevation,12-31-2040 23:59:00,1129.56,Pool Elevation (ft),2040,December
1,1,Mead.Pool Elevation,01-31-2041 23:59:00,1130.51,Pool Elevation (ft),2041,January
1,1,Mead.Pool Elevation,02-28-2041 23:59:00,1130.62,Pool Elevation (ft),2041,February
1,1,Mead.Pool Elevation,03-31-2041 23:59:00,1128.83,Pool Elevation (ft),2041,March
1,1,Mead.Pool Elevation,04-30-2041 23:59:00,1126.63,Pool Elevation (ft),2041,April
1,1,Mead.Pool Elevation,05-31-2041 23:59:00,1125.13,Pool Elevation (ft),2041,May
1,1,Mead.Pool Elevation,06-30-2041 23:59:00,1123.29,Pool Elevation (ft),2041,June
1,1,Mead.Pool Elevation,07-31-2041 23:59:00,1123.87,Pool Elevation (ft),2041,July
1,1,Mead.Pool Elevation,08-31-2041 23:59:00,1125.65,Pool Elevation (ft),2041,August
1,1,Mead.Pool Elevation,09-30-2041 23:59:00,1126.64,Pool Elevation (ft),2041,September
1,1,Mead.Pool Elevation,10-31-2041 23:59:00,1128.90,Pool Elevation (ft),2041,October
1,1,Mead.Pool Elevation,11-30-2041 23:59:00,1129.97,Pool Elevation (ft),2041,November
1,1,Mead.Pool Elevation,12-31-2041 23:59:00,1131.20,Pool Elevation (ft),2041,December
1,1,Mead.Pool Elevation,01-31-2042 23:59:00,1131.81,Pool Elevation (ft),2042,January
1,1,Mead.Pool Elevation,02-28-2042 23:59:00,1131.17,Pool Elevation (ft),2042,February
1,1,Mead.Pool Elevation,03-31-2042 23:59:00,1129.72,Pool Elevation (ft),2042,March
1,1,Mead.Pool Elevation,04-30-2042 23:59:00,1127.16,Pool Elevation (ft),2042,April
1,1,Mead.Pool Elevation,05-31-2042 23:59:00,1125.60,Pool Elevation (ft),2042,May
1,1,Mead.Pool Elevation,06-30-2042 23:59:00,1123.63,Pool Elevation (ft),2042,June
1,1,Mead.Pool Elevation,07-31-2042 23:59:00,1124.37,Pool Elevation (ft),2042,July
1,1,Mead.Pool Elevation,08-31-2042 23:59:00,1126.39,Pool Elevation (ft),2042,August
1,1,Mead.Pool Elevation,09-30-2042 23:59:00,1126.96,Pool Elevation (ft),2042,September
1,1,Mead.Pool Elevation,10-31-2042 23:59:00,1129.31,Pool Elevation (ft),2042,October
1,1,Mead.Pool Elevation,11-30-2042 23:59:00,1130.59,Pool Elevation (ft),2042,November
1,1,Mead.Pool Elevation,12-31-2042 23:59:00,1131.59,Pool Elevation (ft),2042,December
1,1,Mead.Pool Elevation,01-31-2043 23:59:00,1133.03,Pool Elevation (ft),2043,January
1,1,Mead.Pool Elevation,02-28-2043 23:59:00,1133.49,Pool Elevation (ft),2043,February
1,1,Mead.Pool Elevation,03-31-2043 23:59:00,1133.77,Pool Elevation (ft),2043,March
1,1,Mead.Pool Elevation,04-30-2043 23:59:00,1132.07,Pool Elevation (ft),2043,April
1,1,Mead.Pool Elevation,05-31-2043 23:59:00,1131.29,Pool Elevation (ft),2043,May
1,1,Mead.Pool Elevation,06-30-2043 23:59:00,1129.90,Pool Elevation (ft),2043,June
1,1,Mead.Pool Elevation,07-31-2043 23:59:00,1129.54,Pool Elevation (ft),2043,July
1,1,Mead.Pool Elevation,08-31-2043 23:59:00,1130.45,Pool Elevation (ft),2043,August
1,1,Mead.Pool Elevation,09-30-2043 23:59:00,1130.87,Pool Elevation (ft),2043,September
1,1,Mead.Pool Elevation,10-31-2043 23:59:00,1132.87,Pool Elevation (ft),2043,October
1,1,Mead.Pool Elevation,11-30-2043 23:59:00,1135.13,Pool Elevation (ft),2043,November
1,1,Mead.Pool Elevation,12-31-2043 23:59:00,1136.95,Pool Elevation (ft),2043,December
1,1,Mead.Pool Elevation,01-31-2044 23:59:00,1137.46,Pool Elevation (ft),2044,January
1,1,Mead.Pool Elevation,02-29-2044 23:59:00,1137.07,Pool Elevation (ft),2044,February
1,1,Mead.Pool Elevation,03-31-2044 23:59:00,1134.96,Pool Elevation (ft),2044,March
1,1,Mead.Pool Elevation,04-30-2044 23:59:00,1132.23,Pool Elevation (ft),2044,April
1,1,Mead.Pool Elevation,05-31-2044 23:59:00,1130.13,Pool Elevation (ft),2044,May
1,1,Mead.Pool Elevation,06-30-2044 23:59:00,1127.82,Pool Elevation (ft),2044,June
1,1,Mead.Pool Elevation,07-31-2044 23:59:00,1127.96,Pool Elevation (ft),2044,July
1,1,Mead.Pool Elevation,08-31-2044 23:59:00,1129.51,Pool Elevation (ft),2044,August
1,1,Mead.Pool Elevation,09-30-2044 23:59:00,1130.32,Pool Elevation (ft),2044,September
1,1,Mead.Pool Elevation,10-31-2044 23:59:00,1132.42,Pool Elevation (ft),2044,October
1,1,Mead.Pool Elevation,11-30-2044 23:59:00,1133.44,Pool Elevation (ft),2044,November
1,1,Mead.Pool Elevation,12-31-2044 23:59:00,1134.51,Pool Elevation (ft),2044,December
1,1,Mead.Pool Elevation,01-31-2045 23:59:00,1139.47,Pool Elevation (ft),2045,January
1,1,Mead.Pool Elevation,02-28-2045 23:59:00,1142.77,Pool Elevation (ft),2045,February
1,1,Mead.Pool Elevation,03-31-2045 23:59:00,1143.88,Pool Elevation (ft),2045,March
1,1,Mead.Pool Elevation,04-30-2045 23:59:00,1142.52,Pool Elevation (ft),2045,April
1,1,Mead.Pool Elevation,05-31-2045 23:59:00,1142.08,Pool Elevation (ft),2045,May
1,1,Mead.Pool Elevation,06-30-2045 23:59:00,1140.56,Pool Elevation (ft),2045,June
1,1,Mead.Pool Elevation,07-31-2045 23:59:00,1140.39,Pool Elevation (ft),2045,July
1,1,Mead.Pool Elevation,08-31-2045 23:59:00,1141.84,Pool Elevation (ft),2045,August
1,1,Mead.Pool Elevation,09-30-2045 23:59:00,1142.09,Pool Elevation (ft),2045,September
1,1,Mead.Pool Elevation,10-31-2045 23:59:00,1144.17,Pool Elevation (ft),2045,October
1,1,Mead.Pool Elevation,11-30-2045 23:59:00,1144.81,Pool Elevation (ft),2045,November
1,1,Mead.Pool Elevation,12-31-2045 23:59:00,1145.50,Pool Elevation (ft),2045,December
1,1,Mead.Pool Elevation,01-31-2046 23:59:00,1146.10,Pool Elevation (ft),2046,January
1,1,Mead.Pool Elevation,02-28-2046 23:59:00,1145.74,Pool Elevation (ft),2046,February
1,1,Mead.Pool Elevation,03-31-2046 23:59:00,1145.24,Pool Elevation (ft),2046,March
1,1,Mead.Pool Elevation,04-30-2046 23:59:00,1142.75,Pool Elevation (ft),2046,April
1,1,Mead.Pool Elevation,05-31-2046 23:59:00,1141.37,Pool Elevation (ft),2046,May
1,1,Mead.Pool Elevation,06-30-2046 23:59:00,1139.41,Pool Elevation (ft),2046,June
1,1,Mead.Pool Elevation,07-31-2046 23:59:00,1138.34,Pool Elevation (ft),2046,July
1,1,Mead.Pool Elevation,08-31-2046 23:59:00,1138.55,Pool Elevation (ft),2046,August
1,1,Mead.Pool Elevation,09-30-2046 23:59:00,1138.31,Pool Elevation (ft),2046,September
1,1,Mead.Pool Elevation,10-31-2046 23:59:00,1139.55,Pool Elevation (ft),2046,October
1,1,Mead.Pool Elevation,11-30-2046 23:59:00,1141.02,Pool Elevation (ft),2046,November
1,1,Mead.Pool Elevation,12-31-2046 23:59:00,1142.15,Pool Elevation (ft),2046,December
1,1,Mead.Pool Elevation,01-31-2047 23:59:00,1142.43,Pool Elevation (ft),2047,January
1,1,Mead.Pool Elevation,02-28-2047 23:59:00,1141.72,Pool Elevation (ft),2047,February
