Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Object Name,Slot Name with Unit,Year,Month
1,1,Mead.Pool Elevation,6/30/2026 23:59,1065.73,Mead,Pool Elevation (ft),2026,June
1,1,Mead.Pool Elevation,7/31/2026 23:59,1067,Mead,Pool Elevation (ft),2026,July
1,1,Mead.Pool Elevation,8/31/2026 23:59,1070.21,Mead,Pool Elevation (ft),2026,August
1,1,Mead.Pool Elevation,9/30/2026 23:59,1071.71,Mead,Pool Elevation (ft),2026,September
1,1,Mead.Pool Elevation,10/31/2026 23:59,1074.46,Mead,Pool Elevation (ft),2026,October
1,1,Mead.Pool Elevation,11/30/2026 23:59,1075.89,Mead,Pool Elevation (ft),2026,November
1,1,Mead.Pool Elevation,12/31/2026 23:59,1077.59,Mead,Pool Elevation (ft),2026,December
1,1,Mead.Pool Elevation,1/31/2027 23:59,1077.01,Mead,Pool Elevation (ft),2027,January
1,1,Mead.Pool Elevation,2/28/2027 23:59,1075.26,Mead,Pool Elevation (ft),2027,February
1,1,Mead.Pool Elevation,3/31/2027 23:59,1073.13,Mead,Pool Elevation (ft),2027,March
1,1,Mead.Pool Elevation,4/30/2027 23:59,1069.8,Mead,Pool Elevation (ft),2027,April
1,1,Mead.Pool Elevation,5/31/2027 23:59,1067.94,Mead,Pool Elevation (ft),2027,May
1,1,Mead.Pool Elevation,6/30/2027 23:59,1066.47,Mead,Pool Elevation (ft),2027,June
1,1,Mead.Pool Elevation,7/31/2027 23:59,1067.18,Mead,Pool Elevation (ft),2027,July
1,1,Mead.Pool Elevation,8/31/2027 23:59,1069.62,Mead,Pool Elevation (ft),2027,August
1,1,Mead.Pool Elevation,9/30/2027 23:59,1070.11,Mead,Pool Elevation (ft),2027,September
1,1,Mead.Pool Elevation,10/31/2027 23:59,1072.47,Mead,Pool Elevation (ft),2027,October
1,1,Mead.Pool Elevation,11/30/2027 23:59,1072.52,Mead,Pool Elevation (ft),2027,November
1,1,Mead.Pool Elevation,12/31/2027 23:59,1072.38,Mead,Pool Elevation (ft),2027,December
1,1,Mead.Pool Elevation,1/31/2028 23:59,1073.84,Mead,Pool Elevation (ft),2028,January
1,1,Mead.Pool Elevation,2/29/2028 23:59,1074.14,Mead,Pool Elevation (ft),2028,February
1,1,Mead.Pool Elevation,3/31/2028 23:59,1072.41,Mead,Pool Elevation (ft),2028,March
1,1,Mead.Pool Elevation,4/30/2028 23:59,1069.64,Mead,Pool Elevation (ft),2028,April
1,1,Mead.Pool Elevation,5/31/2028 23:59,1067.73,Mead,Pool Elevation (ft),2028,May
1,1,Mead.Pool Elevation,6/30/2028 23:59,1065.34,Mead,Pool Elevation (ft),2028,June
1,1,Mead.Pool Elevation,7/31/2028 23:59,1065.1,Mead,Pool Elevation (ft),2028,July
1,1,Mead.Pool Elevation,8/31/2028 23:59,1068.06,Mead,Pool Elevation (ft),2028,August
1,1,Mead.Pool Elevation,9/30/2028 23:59,1070.24,Mead,Pool Elevation (ft),2028,September
1,1,Mead.Pool Elevation,10/31/2028 23:59,1073.61,Mead,Pool Elevation (ft),2028,October
1,1,Mead.Pool Elevation,11/30/2028 23:59,1075.54,Mead,Pool Elevation (ft),2028,November
1,1,Mead.Pool Elevation,12/31/2028 23:59,1076.98,Mead,Pool Elevation (ft),2028,December
1,1,Mead.Pool Elevation,1/31/2029 23:59,1077.05,Mead,Pool Elevation (ft),2029,January
1,1,Mead.Pool Elevation,2/28/2029 23:59,1075.47,Mead,Pool Elevation (ft),2029,February
1,1,Mead.Pool Elevation,3/31/2029 23:59,1072.82,Mead,Pool Elevation (ft),2029,March
1,1,Mead.Pool Elevation,4/30/2029 23:59,1069.32,Mead,Pool Elevation (ft),2029,April
1,1,Mead.Pool Elevation,5/31/2029 23:59,1067.39,Mead,Pool Elevation (ft),2029,May
1,1,Mead.Pool Elevation,6/30/2029 23:59,1064.69,Mead,Pool Elevation (ft),2029,June
1,1,Mead.Pool Elevation,7/31/2029 23:59,1065.49,Mead,Pool Elevation (ft),2029,July
1,1,Mead.Pool Elevation,8/31/2029 23:59,1069.88,Mead,Pool Elevation (ft),2029,August
1,1,Mead.Pool Elevation,9/30/2029 23:59,1072.07,Mead,Pool Elevation (ft),2029,September
1,1,Mead.Pool Elevation,10/31/2029 23:59,1073.6,Mead,Pool Elevation (ft),2029,October
1,1,Mead.Pool Elevation,11/30/2029 23:59,1073.86,Mead,Pool Elevation (ft),2029,November
1,1,Mead.Pool Elevation,12/31/2029 23:59,1074.39,Mead,Pool Elevation (ft),2029,December
1,1,Mead.Pool Elevation,1/31/2030 23:59,1075.86,Mead,Pool Elevation (ft),2030,January
1,1,Mead.Pool Elevation,2/28/2030 23:59,1075.52,Mead,Pool Elevation (ft),2030,February
1,1,Mead.Pool Elevation,3/31/2030 23:59,1073.37,Mead,Pool Elevation (ft),2030,March
1,1,Mead.Pool Elevation,4/30/2030 23:59,1068.66,Mead,Pool Elevation (ft),2030,April
1,1,Mead.Pool Elevation,5/31/2030 23:59,1065.41,Mead,Pool Elevation (ft),2030,May
1,1,Mead.Pool Elevation,6/30/2030 23:59,1061.03,Mead,Pool Elevation (ft),2030,June
1,1,Mead.Pool Elevation,7/31/2030 23:59,1059.37,Mead,Pool Elevation (ft),2030,July
1,1,Mead.Pool Elevation,8/31/2030 23:59,1062.72,Mead,Pool Elevation (ft),2030,August
1,1,Mead.Pool Elevation,9/30/2030 23:59,1063.85,Mead,Pool Elevation (ft),2030,September
1,1,Mead.Pool Elevation,10/31/2030 23:59,1065.55,Mead,Pool Elevation (ft),2030,October
1,1,Mead.Pool Elevation,11/30/2030 23:59,1067.27,Mead,Pool Elevation (ft),2030,November
1,1,Mead.Pool Elevation,12/31/2030 23:59,1067.85,Mead,Pool Elevation (ft),2030,December
1,1,Mead.Pool Elevation,1/31/2031 23:59,1067.36,Mead,Pool Elevation (ft),2031,January
1,1,Mead.Pool Elevation,2/28/2031 23:59,1065.75,Mead,Pool Elevation (ft),2031,February
1,1,Mead.Pool Elevation,3/31/2031 23:59,1061.58,Mead,Pool Elevation (ft),2031,March
1,1,Mead.Pool Elevation,4/30/2031 23:59,1056.94,Mead,Pool Elevation (ft),2031,April
1,1,Mead.Pool Elevation,5/31/2031 23:59,1053.51,Mead,Pool Elevation (ft),2031,May
1,1,Mead.Pool Elevation,6/30/2031 23:59,1049.37,Mead,Pool Elevation (ft),2031,June
1,1,Mead.Pool Elevation,7/31/2031 23:59,1048.26,Mead,Pool Elevation (ft),2031,July
1,1,Mead.Pool Elevation,8/31/2031 23:59,1048.6,Mead,Pool Elevation (ft),2031,August
1,1,Mead.Pool Elevation,9/30/2031 23:59,1048.21,Mead,Pool Elevation (ft),2031,September
1,1,Mead.Pool Elevation,10/31/2031 23:59,1050.46,Mead,Pool Elevation (ft),2031,October
1,1,Mead.Pool Elevation,11/30/2031 23:59,1051.15,Mead,Pool Elevation (ft),2031,November
1,1,Mead.Pool Elevation,12/31/2031 23:59,1052.29,Mead,Pool Elevation (ft),2031,December
1,1,Mead.Pool Elevation,1/31/2032 23:59,1053.58,Mead,Pool Elevation (ft),2032,January
1,1,Mead.Pool Elevation,2/29/2032 23:59,1053.42,Mead,Pool Elevation (ft),2032,February
1,1,Mead.Pool Elevation,3/31/2032 23:59,1053.57,Mead,Pool Elevation (ft),2032,March
1,1,Mead.Pool Elevation,4/30/2032 23:59,1051.2,Mead,Pool Elevation (ft),2032,April
1,1,Mead.Pool Elevation,5/31/2032 23:59,1048.53,Mead,Pool Elevation (ft),2032,May
1,1,Mead.Pool Elevation,6/30/2032 23:59,1045.78,Mead,Pool Elevation (ft),2032,June
1,1,Mead.Pool Elevation,7/31/2032 23:59,1044.98,Mead,Pool Elevation (ft),2032,July
1,1,Mead.Pool Elevation,8/31/2032 23:59,1047.38,Mead,Pool Elevation (ft),2032,August
1,1,Mead.Pool Elevation,9/30/2032 23:59,1048.53,Mead,Pool Elevation (ft),2032,September
1,1,Mead.Pool Elevation,10/31/2032 23:59,1049.91,Mead,Pool Elevation (ft),2032,October
1,1,Mead.Pool Elevation,11/30/2032 23:59,1050.28,Mead,Pool Elevation (ft),2032,November
1,1,Mead.Pool Elevation,12/31/2032 23:59,1051.14,Mead,Pool Elevation (ft),2032,December
1,1,Mead.Pool Elevation,1/31/2033 23:59,1051,Mead,Pool Elevation (ft),2033,January
1,1,Mead.Pool Elevation,2/28/2033 23:59,1049.72,Mead,Pool Elevation (ft),2033,February
1,1,Mead.Pool Elevation,3/31/2033 23:59,1046.72,Mead,Pool Elevation (ft),2033,March
1,1,Mead.Pool Elevation,4/30/2033 23:59,1041.41,Mead,Pool Elevation (ft),2033,April
1,1,Mead.Pool Elevation,5/31/2033 23:59,1038.23,Mead,Pool Elevation (ft),2033,May
1,1,Mead.Pool Elevation,6/30/2033 23:59,1034.39,Mead,Pool Elevation (ft),2033,June
1,1,Mead.Pool Elevation,7/31/2033 23:59,1032.76,Mead,Pool Elevation (ft),2033,July
1,1,Mead.Pool Elevation,8/31/2033 23:59,1032.47,Mead,Pool Elevation (ft),2033,August
1,1,Mead.Pool Elevation,9/30/2033 23:59,1031.11,Mead,Pool Elevation (ft),2033,September
1,1,Mead.Pool Elevation,10/31/2033 23:59,1033.21,Mead,Pool Elevation (ft),2033,October
1,1,Mead.Pool Elevation,11/30/2033 23:59,1034.52,Mead,Pool Elevation (ft),2033,November
1,1,Mead.Pool Elevation,12/31/2033 23:59,1035.8,Mead,Pool Elevation (ft),2033,December
1,1,Mead.Pool Elevation,1/31/2034 23:59,1038.85,Mead,Pool Elevation (ft),2034,January
1,1,Mead.Pool Elevation,2/28/2034 23:59,1040.31,Mead,Pool Elevation (ft),2034,February
1,1,Mead.Pool Elevation,3/31/2034 23:59,1039.47,Mead,Pool Elevation (ft),2034,March
1,1,Mead.Pool Elevation,4/30/2034 23:59,1036.66,Mead,Pool Elevation (ft),2034,April
1,1,Mead.Pool Elevation,5/31/2034 23:59,1035.47,Mead,Pool Elevation (ft),2034,May
1,1,Mead.Pool Elevation,6/30/2034 23:59,1033.43,Mead,Pool Elevation (ft),2034,June
1,1,Mead.Pool Elevation,7/31/2034 23:59,1034.45,Mead,Pool Elevation (ft),2034,July
1,1,Mead.Pool Elevation,8/31/2034 23:59,1036.26,Mead,Pool Elevation (ft),2034,August
1,1,Mead.Pool Elevation,9/30/2034 23:59,1037.04,Mead,Pool Elevation (ft),2034,September
1,1,Mead.Pool Elevation,10/31/2034 23:59,1038.92,Mead,Pool Elevation (ft),2034,October
1,1,Mead.Pool Elevation,11/30/2034 23:59,1039.91,Mead,Pool Elevation (ft),2034,November
1,1,Mead.Pool Elevation,12/31/2034 23:59,1040.6,Mead,Pool Elevation (ft),2034,December
1,1,Mead.Pool Elevation,1/31/2035 23:59,1041.89,Mead,Pool Elevation (ft),2035,January
1,1,Mead.Pool Elevation,2/28/2035 23:59,1041.6,Mead,Pool Elevation (ft),2035,February
1,1,Mead.Pool Elevation,3/31/2035 23:59,1040.89,Mead,Pool Elevation (ft),2035,March
1,1,Mead.Pool Elevation,4/30/2035 23:59,1037.49,Mead,Pool Elevation (ft),2035,April
1,1,Mead.Pool Elevation,5/31/2035 23:59,1035.48,Mead,Pool Elevation (ft),2035,May
1,1,Mead.Pool Elevation,6/30/2035 23:59,1033.39,Mead,Pool Elevation (ft),2035,June
1,1,Mead.Pool Elevation,7/31/2035 23:59,1033.62,Mead,Pool Elevation (ft),2035,July
1,1,Mead.Pool Elevation,8/31/2035 23:59,1035.87,Mead,Pool Elevation (ft),2035,August
1,1,Mead.Pool Elevation,9/30/2035 23:59,1036.05,Mead,Pool Elevation (ft),2035,September
1,1,Mead.Pool Elevation,10/31/2035 23:59,1039.19,Mead,Pool Elevation (ft),2035,October
1,1,Mead.Pool Elevation,11/30/2035 23:59,1040.11,Mead,Pool Elevation (ft),2035,November
1,1,Mead.Pool Elevation,12/31/2035 23:59,1040.58,Mead,Pool Elevation (ft),2035,December
1,1,Mead.Pool Elevation,1/31/2036 23:59,1042.44,Mead,Pool Elevation (ft),2036,January
1,1,Mead.Pool Elevation,2/29/2036 23:59,1043.06,Mead,Pool Elevation (ft),2036,February
1,1,Mead.Pool Elevation,3/31/2036 23:59,1042,Mead,Pool Elevation (ft),2036,March
1,1,Mead.Pool Elevation,4/30/2036 23:59,1040.03,Mead,Pool Elevation (ft),2036,April
1,1,Mead.Pool Elevation,5/31/2036 23:59,1039.44,Mead,Pool Elevation (ft),2036,May
1,1,Mead.Pool Elevation,6/30/2036 23:59,1038.56,Mead,Pool Elevation (ft),2036,June
1,1,Mead.Pool Elevation,7/31/2036 23:59,1039.67,Mead,Pool Elevation (ft),2036,July
1,1,Mead.Pool Elevation,8/31/2036 23:59,1041.9,Mead,Pool Elevation (ft),2036,August
1,1,Mead.Pool Elevation,9/30/2036 23:59,1042.76,Mead,Pool Elevation (ft),2036,September
1,1,Mead.Pool Elevation,10/31/2036 23:59,1045.09,Mead,Pool Elevation (ft),2036,October
1,1,Mead.Pool Elevation,11/30/2036 23:59,1046.01,Mead,Pool Elevation (ft),2036,November
1,1,Mead.Pool Elevation,12/31/2036 23:59,1047.5,Mead,Pool Elevation (ft),2036,December
1,1,Mead.Pool Elevation,1/31/2037 23:59,1049.44,Mead,Pool Elevation (ft),2037,January
1,1,Mead.Pool Elevation,2/28/2037 23:59,1049.21,Mead,Pool Elevation (ft),2037,February
1,1,Mead.Pool Elevation,3/31/2037 23:59,1047.88,Mead,Pool Elevation (ft),2037,March
1,1,Mead.Pool Elevation,4/30/2037 23:59,1044.98,Mead,Pool Elevation (ft),2037,April
1,1,Mead.Pool Elevation,5/31/2037 23:59,1043.81,Mead,Pool Elevation (ft),2037,May
1,1,Mead.Pool Elevation,6/30/2037 23:59,1042,Mead,Pool Elevation (ft),2037,June
1,1,Mead.Pool Elevation,7/31/2037 23:59,1043.96,Mead,Pool Elevation (ft),2037,July
1,1,Mead.Pool Elevation,8/31/2037 23:59,1047.41,Mead,Pool Elevation (ft),2037,August
1,1,Mead.Pool Elevation,9/30/2037 23:59,1048.64,Mead,Pool Elevation (ft),2037,September
1,1,Mead.Pool Elevation,10/31/2037 23:59,1051.18,Mead,Pool Elevation (ft),2037,October
1,1,Mead.Pool Elevation,11/30/2037 23:59,1052.35,Mead,Pool Elevation (ft),2037,November
1,1,Mead.Pool Elevation,12/31/2037 23:59,1053.48,Mead,Pool Elevation (ft),2037,December
1,1,Mead.Pool Elevation,1/31/2038 23:59,1055.08,Mead,Pool Elevation (ft),2038,January
1,1,Mead.Pool Elevation,2/28/2038 23:59,1055.4,Mead,Pool Elevation (ft),2038,February
1,1,Mead.Pool Elevation,3/31/2038 23:59,1053.44,Mead,Pool Elevation (ft),2038,March
1,1,Mead.Pool Elevation,4/30/2038 23:59,1050.76,Mead,Pool Elevation (ft),2038,April
1,1,Mead.Pool Elevation,5/31/2038 23:59,1049.12,Mead,Pool Elevation (ft),2038,May
1,1,Mead.Pool Elevation,6/30/2038 23:59,1046.97,Mead,Pool Elevation (ft),2038,June
1,1,Mead.Pool Elevation,7/31/2038 23:59,1047.51,Mead,Pool Elevation (ft),2038,July
1,1,Mead.Pool Elevation,8/31/2038 23:59,1049.18,Mead,Pool Elevation (ft),2038,August
1,1,Mead.Pool Elevation,9/30/2038 23:59,1050.33,Mead,Pool Elevation (ft),2038,September
1,1,Mead.Pool Elevation,10/31/2038 23:59,1053.8,Mead,Pool Elevation (ft),2038,October
1,1,Mead.Pool Elevation,11/30/2038 23:59,1055.92,Mead,Pool Elevation (ft),2038,November
1,1,Mead.Pool Elevation,12/31/2038 23:59,1057.33,Mead,Pool Elevation (ft),2038,December
1,1,Mead.Pool Elevation,1/31/2039 23:59,1059.04,Mead,Pool Elevation (ft),2039,January
1,1,Mead.Pool Elevation,2/28/2039 23:59,1058.94,Mead,Pool Elevation (ft),2039,February
1,1,Mead.Pool Elevation,3/31/2039 23:59,1056.69,Mead,Pool Elevation (ft),2039,March
1,1,Mead.Pool Elevation,4/30/2039 23:59,1052.69,Mead,Pool Elevation (ft),2039,April
1,1,Mead.Pool Elevation,5/31/2039 23:59,1049.84,Mead,Pool Elevation (ft),2039,May
1,1,Mead.Pool Elevation,6/30/2039 23:59,1046.3,Mead,Pool Elevation (ft),2039,June
1,1,Mead.Pool Elevation,7/31/2039 23:59,1046.07,Mead,Pool Elevation (ft),2039,July
1,1,Mead.Pool Elevation,8/31/2039 23:59,1050.49,Mead,Pool Elevation (ft),2039,August
1,1,Mead.Pool Elevation,9/30/2039 23:59,1052.36,Mead,Pool Elevation (ft),2039,September
1,1,Mead.Pool Elevation,10/31/2039 23:59,1053.62,Mead,Pool Elevation (ft),2039,October
1,1,Mead.Pool Elevation,11/30/2039 23:59,1054.42,Mead,Pool Elevation (ft),2039,November
1,1,Mead.Pool Elevation,12/31/2039 23:59,1054.88,Mead,Pool Elevation (ft),2039,December
1,1,Mead.Pool Elevation,1/31/2040 23:59,1054.03,Mead,Pool Elevation (ft),2040,January
1,1,Mead.Pool Elevation,2/29/2040 23:59,1052.09,Mead,Pool Elevation (ft),2040,February
1,1,Mead.Pool Elevation,3/31/2040 23:59,1047.82,Mead,Pool Elevation (ft),2040,March
1,1,Mead.Pool Elevation,4/30/2040 23:59,1042.88,Mead,Pool Elevation (ft),2040,April
1,1,Mead.Pool Elevation,5/31/2040 23:59,1038.89,Mead,Pool Elevation (ft),2040,May
1,1,Mead.Pool Elevation,6/30/2040 23:59,1034.33,Mead,Pool Elevation (ft),2040,June
1,1,Mead.Pool Elevation,7/31/2040 23:59,1032.25,Mead,Pool Elevation (ft),2040,July
1,1,Mead.Pool Elevation,8/31/2040 23:59,1031.32,Mead,Pool Elevation (ft),2040,August
1,1,Mead.Pool Elevation,9/30/2040 23:59,1030.68,Mead,Pool Elevation (ft),2040,September
1,1,Mead.Pool Elevation,10/31/2040 23:59,1034.72,Mead,Pool Elevation (ft),2040,October
1,1,Mead.Pool Elevation,11/30/2040 23:59,1037.08,Mead,Pool Elevation (ft),2040,November
1,1,Mead.Pool Elevation,12/31/2040 23:59,1038.76,Mead,Pool Elevation (ft),2040,December
1,1,Mead.Pool Elevation,1/31/2041 23:59,1038.07,Mead,Pool Elevation (ft),2041,January
1,1,Mead.Pool Elevation,2/28/2041 23:59,1035.93,Mead,Pool Elevation (ft),2041,February
1,1,Mead.Pool Elevation,3/31/2041 23:59,1030.67,Mead,Pool Elevation (ft),2041,March
1,1,Mead.Pool Elevation,4/30/2041 23:59,1024.8,Mead,Pool Elevation (ft),2041,April
1,1,Mead.Pool Elevation,5/31/2041 23:59,1020.12,Mead,Pool Elevation (ft),2041,May
1,1,Mead.Pool Elevation,6/30/2041 23:59,1014.78,Mead,Pool Elevation (ft),2041,June
1,1,Mead.Pool Elevation,7/31/2041 23:59,1013.13,Mead,Pool Elevation (ft),2041,July
1,1,Mead.Pool Elevation,8/31/2041 23:59,1013.38,Mead,Pool Elevation (ft),2041,August
1,1,Mead.Pool Elevation,9/30/2041 23:59,1012.84,Mead,Pool Elevation (ft),2041,September
1,1,Mead.Pool Elevation,10/31/2041 23:59,1015.54,Mead,Pool Elevation (ft),2041,October
1,1,Mead.Pool Elevation,11/30/2041 23:59,1016.55,Mead,Pool Elevation (ft),2041,November
1,1,Mead.Pool Elevation,12/31/2041 23:59,1017.79,Mead,Pool Elevation (ft),2041,December
1,1,Mead.Pool Elevation,1/31/2042 23:59,1018.23,Mead,Pool Elevation (ft),2042,January
1,1,Mead.Pool Elevation,2/28/2042 23:59,1016.28,Mead,Pool Elevation (ft),2042,February
1,1,Mead.Pool Elevation,3/31/2042 23:59,1012.79,Mead,Pool Elevation (ft),2042,March
1,1,Mead.Pool Elevation,4/30/2042 23:59,1007.42,Mead,Pool Elevation (ft),2042,April
1,1,Mead.Pool Elevation,5/31/2042 23:59,1003.76,Mead,Pool Elevation (ft),2042,May
1,1,Mead.Pool Elevation,6/30/2042 23:59,999.39,Mead,Pool Elevation (ft),2042,June
1,1,Mead.Pool Elevation,7/31/2042 23:59,999.77,Mead,Pool Elevation (ft),2042,July
1,1,Mead.Pool Elevation,8/31/2042 23:59,1002.39,Mead,Pool Elevation (ft),2042,August
1,1,Mead.Pool Elevation,9/30/2042 23:59,1002.6,Mead,Pool Elevation (ft),2042,September
1,1,Mead.Pool Elevation,10/31/2042 23:59,1006,Mead,Pool Elevation (ft),2042,October
1,1,Mead.Pool Elevation,11/30/2042 23:59,1007.8,Mead,Pool Elevation (ft),2042,November
1,1,Mead.Pool Elevation,12/31/2042 23:59,1009.06,Mead,Pool Elevation (ft),2042,December
1,1,Mead.Pool Elevation,1/31/2043 23:59,1012.13,Mead,Pool Elevation (ft),2043,January
1,1,Mead.Pool Elevation,2/28/2043 23:59,1013.26,Mead,Pool Elevation (ft),2043,February
1,1,Mead.Pool Elevation,3/31/2043 23:59,1014.29,Mead,Pool Elevation (ft),2043,March
1,1,Mead.Pool Elevation,4/30/2043 23:59,1011.35,Mead,Pool Elevation (ft),2043,April
1,1,Mead.Pool Elevation,5/31/2043 23:59,1008.77,Mead,Pool Elevation (ft),2043,May
1,1,Mead.Pool Elevation,6/30/2043 23:59,1005.91,Mead,Pool Elevation (ft),2043,June
1,1,Mead.Pool Elevation,7/31/2043 23:59,1006.22,Mead,Pool Elevation (ft),2043,July
1,1,Mead.Pool Elevation,8/31/2043 23:59,1011.52,Mead,Pool Elevation (ft),2043,August
1,1,Mead.Pool Elevation,9/30/2043 23:59,1014.75,Mead,Pool Elevation (ft),2043,September
1,1,Mead.Pool Elevation,10/31/2043 23:59,1016.85,Mead,Pool Elevation (ft),2043,October
1,1,Mead.Pool Elevation,11/30/2043 23:59,1019.69,Mead,Pool Elevation (ft),2043,November
1,1,Mead.Pool Elevation,12/31/2043 23:59,1021.8,Mead,Pool Elevation (ft),2043,December
1,1,Mead.Pool Elevation,1/31/2044 23:59,1022.2,Mead,Pool Elevation (ft),2044,January
1,1,Mead.Pool Elevation,2/29/2044 23:59,1020.74,Mead,Pool Elevation (ft),2044,February
1,1,Mead.Pool Elevation,3/31/2044 23:59,1016.23,Mead,Pool Elevation (ft),2044,March
1,1,Mead.Pool Elevation,4/30/2044 23:59,1010.67,Mead,Pool Elevation (ft),2044,April
1,1,Mead.Pool Elevation,5/31/2044 23:59,1006.15,Mead,Pool Elevation (ft),2044,May
1,1,Mead.Pool Elevation,6/30/2044 23:59,1001.26,Mead,Pool Elevation (ft),2044,June
1,1,Mead.Pool Elevation,7/31/2044 23:59,1000.67,Mead,Pool Elevation (ft),2044,July
1,1,Mead.Pool Elevation,8/31/2044 23:59,1002.59,Mead,Pool Elevation (ft),2044,August
1,1,Mead.Pool Elevation,9/30/2044 23:59,1003.33,Mead,Pool Elevation (ft),2044,September
1,1,Mead.Pool Elevation,10/31/2044 23:59,1006.42,Mead,Pool Elevation (ft),2044,October
1,1,Mead.Pool Elevation,11/30/2044 23:59,1007.88,Mead,Pool Elevation (ft),2044,November
1,1,Mead.Pool Elevation,12/31/2044 23:59,1009.35,Mead,Pool Elevation (ft),2044,December
1,1,Mead.Pool Elevation,1/31/2045 23:59,1017.55,Mead,Pool Elevation (ft),2045,January
1,1,Mead.Pool Elevation,2/28/2045 23:59,1022.49,Mead,Pool Elevation (ft),2045,February
1,1,Mead.Pool Elevation,3/31/2045 23:59,1023.51,Mead,Pool Elevation (ft),2045,March
1,1,Mead.Pool Elevation,4/30/2045 23:59,1020.36,Mead,Pool Elevation (ft),2045,April
1,1,Mead.Pool Elevation,5/31/2045 23:59,1018.83,Mead,Pool Elevation (ft),2045,May
1,1,Mead.Pool Elevation,6/30/2045 23:59,1015.45,Mead,Pool Elevation (ft),2045,June
1,1,Mead.Pool Elevation,7/31/2045 23:59,1014.45,Mead,Pool Elevation (ft),2045,July
1,1,Mead.Pool Elevation,8/31/2045 23:59,1016.29,Mead,Pool Elevation (ft),2045,August
1,1,Mead.Pool Elevation,9/30/2045 23:59,1016.14,Mead,Pool Elevation (ft),2045,September
1,1,Mead.Pool Elevation,10/31/2045 23:59,1019.3,Mead,Pool Elevation (ft),2045,October
1,1,Mead.Pool Elevation,11/30/2045 23:59,1020.18,Mead,Pool Elevation (ft),2045,November
1,1,Mead.Pool Elevation,12/31/2045 23:59,1021.08,Mead,Pool Elevation (ft),2045,December
1,1,Mead.Pool Elevation,1/31/2046 23:59,1023.71,Mead,Pool Elevation (ft),2046,January
1,1,Mead.Pool Elevation,2/28/2046 23:59,1024.24,Mead,Pool Elevation (ft),2046,February
1,1,Mead.Pool Elevation,3/31/2046 23:59,1024.51,Mead,Pool Elevation (ft),2046,March
